date,BAB
193012,-0.000557986425086
193101,-0.0224459497248
193102,-0.0774228338726
193103,0.029235360405
193104,-0.0129855843188
193105,-0.00723995810474
193106,-0.0786521611949
193107,0.0115879334499
193108,0.00745700164266
193109,-0.0365418504917
193110,-0.0738908878191
193111,0.0084577463521
193112,-0.0171394099006
193201,-0.06026597977
193202,0.00643698101352
193203,0.0421451033792
193204,-0.0249054788626
193205,0.00385955142781
193206,-0.047509598236
193207,-0.190728847078
193208,-0.115401597192
193209,0.0588914693324
193210,0.0603950490271
193211,0.0366135027788
193212,-0.00905675861938
193301,0.00650616242605
193302,0.0384419310874
193303,0.00495627710124
193304,-0.0765032345386
193305,0.186521697344
193306,0.11955068268
193307,-0.0219945315074
193308,0.0104896536221
193309,0.0357348136011
193310,-0.0099037592451
193311,-0.00597370848708
193312,0.00819857656802
193401,0.0222977129433
193402,0.0297023760945
193403,0.0168430088167
193404,0.0955664697891
193405,0.0037565584366
193406,0.0348943230126
193407,0.0307373150113
193408,-0.0294789325647
193409,0.0239789531315
193410,0.0503959761833
193411,0.0634284827729
193412,-0.000835747466989
193501,0.0284115143166
193502,0.0746406296995
193503,0.0106194498947
193504,0.0246956888857
193505,0.0254885079509
193506,0.0357044912988
193507,-0.00974334934802
193508,-0.0231778327743
193509,0.0216947597667
193510,0.0158346443045
193511,-0.0252775891437
193512,0.0226064490115
193601,-0.0292545991102
193602,0.00829566693533
193603,0.0141768253275
193604,-0.00577061946
193605,0.0196295985802
193606,0.0148481242126
193607,0.0236374825217
193608,0.00754919509918
193609,0.0338199814515
193610,0.0399817021708
193611,0.0285331361374
193612,-0.0511574998741
193701,-0.01549807878
193702,-0.00970528853601
193703,-0.050354720421
193704,0.00620925866624
193705,0.0105189781936
193706,-0.0097611137044
193707,-0.00234592987166
193708,0.0118659833864
193709,-0.0279950175933
193710,-0.0340570415033
193711,-0.0338837312045
193712,0.0338296957994
193801,0.0269093417352
193802,0.00187646857787
193803,0.00154273050887
193804,-0.0227762074513
193805,0.0270366059411
193806,-0.0228398404599
193807,0.025998378117
193808,0.00510831971543
193809,-0.0159995435396
193810,-0.0419689680903
193811,0.0287947755844
193812,-0.00654343640842
193901,0.0289508612587
193902,0.0153288213404
193903,0.0837821035503
193904,-0.0104734514131
193905,0.0358006080433
193906,0.0607359130054
193907,-0.0356276318965
193908,0.00341822686874
193909,-0.219484150774
193910,0.0773628559968
193911,0.0647064256763
193912,0.0315884551284
194001,0.0422957495264
194002,0.0016387334824
194003,0.0187687714452
194004,-0.00325391972488
194005,-0.098404201118
194006,0.0333536564833
194007,0.023705024481
194008,0.00618681300837
194009,0.0122522319656
194010,-0.0189329261341
194011,0.0179848696993
194012,0.0185708987742
194101,0.00291375264933
194102,-0.0129677489223
194103,0.00435526296313
194104,0.00331814169001
194105,-0.0108233451981
194106,0.0171791894068
194107,-0.0311989579013
194108,0.00927824155884
194109,0.0203672463853
194110,-0.00248027095579
194111,0.00663823556106
194112,0.0000503909930721
194201,-0.0831125819405
194202,-0.0222059997022
194203,-0.040334252251
194204,-0.0205674325747
194205,0.050113768104
194206,0.0233573029097
194207,0.00580190039326
194208,0.0053720320341
194209,-0.0182541745884
194210,-0.0202373579496
194211,0.0392602450888
194212,0.0283394842647
194301,-0.0578436368776
194302,-0.0623262009537
194303,0.00994013031738
194304,-0.0166837029595
194305,-0.0099456154124
194306,0.0255551119657
194307,0.0223594792793
194308,0.0070970991134
194309,0.00976022457564
194310,-0.000475700235254
194311,0.0195065639805
194312,-0.0111287735983
194401,0.00081292537627
194402,-0.000581739112036
194403,-0.00880236085688
194404,0.00463080773764
194405,0.0139855146288
194406,-0.0254121082404
194407,0.0194059101251
194408,-0.00405072018959
194409,0.000997075637745
194410,0.0212913720267
194411,0.00470642221794
194412,-0.0178696731087
194501,0.0042694425733
194502,0.00229917925565
194503,0.0123233079236
194504,0.0019557822363
194505,0.0153299100053
194506,-0.0486215395656
194507,0.0102927008768
194508,0.0389909544903
194509,0.0245183393461
194510,0.0485639112336
194511,0.00794736573098
194512,0.0103703011444
194601,-0.00693155778619
194602,0.00566292508753
194603,0.0583548315059
194604,0.0618121452428
194605,0.0015471669813
194606,-0.0134963420567
194607,0.0139232294864
194608,0.0065243369953
194609,0.0015722545382
194610,0.00195524719241
194611,0.0194058209403
194612,0.00779302357824
194701,-0.0169611768423
194702,0.0058407326567
194703,0.00381787325098
194704,0.00270893268544
194705,0.00992467763276
194706,0.0239536120595
194707,-0.00270714953364
194708,0.00479800754714
194709,-0.0122916903844
194710,0.00811034850518
194711,0.00986596972487
194712,0.0000706326216902
194801,-0.0222266829965
194802,0.00404369551441
194803,-0.0183617971879
194804,0.00425025403083
194805,0.00581668437993
194806,-0.00621073070462
194807,0.00366021597485
194808,0.00596138344994
194809,0.0144838428706
194810,0.00519233089752
194811,0.013685775121
194812,0.00514645238714
194901,0.0169493910053
194902,0.00958931376239
194903,-0.0112217450953
194904,0.0207623495926
194905,0.0334285704438
194906,0.00410024532464
194907,0.0112679494781
194908,0.024083539263
194909,-0.00596234333739
194910,0.00541435192203
194911,0.021432491102
194912,-0.000402715150832
195001,-0.0112315367716
195002,0.0086201061998
195003,0.00581806634571
195004,-0.037105256859
195005,0.0178477956607
195006,-0.0101799252455
195007,-0.0581688370212
195008,0.0336350890766
195009,0.0123720395589
195010,0.0116363975665
195011,-0.00922440509746
195012,-0.0360928572339
195101,0.00593437666697
195102,0.0222721244122
195103,0.00455868402299
195104,-0.0139009129855
195105,0.0211880875798
195106,0.0170832204558
