date,Mom   
19850604,0.4
19850605,0.86
19850606,0.08
19850607,0.14
19850610,-0.23
19850611,0.33
19850612,0.34
19850613,0.32
19850614,0.02
19850617,0.66
19850618,0.42
19850619,0.25
19850620,-0.11
19850621,-0.22
19850624,-0.22
19850625,-0.5
19850626,-0.3
19850627,0
19850628,0.19
19850701,-0.3
19850702,0.14
19850703,0.19
19850705,-0.02
19850708,0.54
19850709,0.14
19850710,0.03
19850711,-0.06
19850712,0.42
19850715,0.22
19850716,-0.54
19850717,-0.46
19850718,-0.24
19850719,-0.8
19850722,-0.37
19850723,-0.7
19850724,-1.15
19850725,-0.74
19850726,-0.32
19850729,-0.27
19850730,0.04
19850731,0.08
19850801,0.05
19850802,0
19850805,0.01
19850806,0.43
19850807,-0.35
19850808,0.33
19850809,0.29
19850812,0.23
19850813,0.29
19850814,0.1
19850815,0.09
19850816,0.2
19850819,0.04
19850820,0.03
19850821,0.09
19850822,0.51
19850823,-0.04
19850826,-0.28
19850827,-0.07
19850828,0.15
19850829,0.22
19850830,0.02
19850903,0.25
19850904,0.27
19850905,0.09
19850906,-0.15
19850909,0.06
19850910,0.05
19850911,0.17
19850912,-0.24
19850913,-0.22
19850916,0.12
19850917,0.08
19850918,-0.13
19850919,0.02
19850920,0.63
19850923,0.09
19850924,0.51
19850925,0.23
19850926,-0.43
19850930,0.4
19851001,0.09
19851002,0.18
19851003,0.1
19851004,0.17
19851007,0.23
19851008,0.39
19851009,0.45
19851010,0.35
19851011,0.13
19851014,-0.05
19851015,0.6
19851016,0.23
19851017,0.01
19851018,0.2
19851021,0.19
19851022,-0.02
19851023,0.21
19851024,-0.1
19851025,0.36
19851028,0.18
19851029,0.04
19851030,0.19
19851031,0.34
19851101,0.21
19851104,0.29
19851105,-0.03
19851106,-0.28
19851107,0.06
19851108,-0.14
19851111,-0.01
19851112,-0.25
19851113,0.1
19851114,-0.12
19851115,-0.09
19851118,0.05
19851119,-0.39
19851120,0.4
19851121,-0.33
19851122,-0.06
19851125,0.21
19851126,0.08
19851127,-0.32
19851129,-0.09
19851202,0.13
19851203,-0.18
19851204,-0.28
19851205,-0.08
19851206,0.23
19851209,0.19
19851210,0.19
19851211,0.5
19851212,0.33
19851213,-0.67
19851216,0.24
19851217,0.36
19851218,0.26
19851219,-0.25
19851220,-0.3
19851223,-0.03
19851224,-0.11
19851226,-0.22
19851227,-0.07
19851230,0.11
19851231,-0.11
19860102,-0.72
19860103,0.01
19860106,0
19860107,-0.03
19860108,0.15
19860109,-0.53
19860110,-0.09
19860113,-0.11
19860114,0.15
19860115,0.13
19860116,-0.17
19860117,0.13
